CustomerID,2010 revenue,days_since_first_purchase,days_since_last_purchase,number_of_purchases,avg_order_cost,2011 revenue
12347.0,711.79,23.0,23.0,1.0,711.79,3598.2100000000005
12383.0,600.72,8.0,8.0,1.0,600.72,1249.84
12386.0,258.9,22.0,22.0,1.0,258.9,143.0
12395.0,679.9199999999998,27.0,13.0,2.0,339.9599999999999,2338.71
12417.0,291.34,13.0,13.0,1.0,291.34,3357.7599999999998
12423.0,237.93000000000004,9.0,9.0,1.0,237.93000000000004,1621.38
12427.0,303.5,27.0,27.0,1.0,303.5,522.3
12431.0,773.95,29.0,13.0,2.0,386.975,5713.5
12476.0,12.45,17.0,17.0,1.0,12.45,6803.9699999999975
12481.0,791.3399999999999,21.0,10.0,2.0,395.66999999999996,4804.9800000000005
12494.0,62.55,21.0,14.0,2.0,31.275,1183.55
12577.0,195.89000000000001,15.0,15.0,1.0,195.89000000000001,461.91000000000014
12600.0,274.8,27.0,13.0,2.0,137.4,2324.2400000000002
12647.0,1193.6,25.0,13.0,3.0,397.8666666666666,2529.22
12662.0,261.48,29.0,29.0,1.0,261.48,3588.3
12668.0,469.86999999999995,11.0,11.0,1.0,469.86999999999995,3337.2800000000007
12691.0,180.00000000000003,13.0,13.0,1.0,180.00000000000003,855.8000000000001
12708.0,196.44,24.0,24.0,1.0,196.44,2516.47
12709.0,1315.69,22.0,13.0,2.0,657.845,8420.83
12712.0,470.63,27.0,21.0,2.0,235.315,3925.5000000000005
12720.0,657.13,25.0,13.0,2.0,328.565,5124.6
12721.0,286.59999999999997,10.0,10.0,1.0,286.59999999999997,2369.5299999999997
12726.0,170.28000000000003,13.0,13.0,1.0,170.28000000000003,2438.8199999999997
12747.0,706.27,25.0,17.0,2.0,353.135,3489.7399999999993
12763.0,320.08,25.0,25.0,1.0,320.08,174.0
12779.0,248.16,27.0,27.0,1.0,248.16,3733.2000000000003
12782.0,463.5,13.0,13.0,1.0,463.5,1867.42
12793.0,131.8,27.0,27.0,1.0,131.8,413.68
12808.0,129.4,24.0,24.0,1.0,129.4,354.25
