,content,class
0,collin call chamber return world champion kim collin say suspend sprinter dwain chamber allow compet olymp chamber wa ban two year test posit anabol steroid thg hi suspens run novemb thi year collin say british olymp associ revers decis ban olymp life wa harsh collin told radio five live reconsid chamber ha america learn american footbal ha rule return track collin ad great guy never ani problem friend would like see dwain come back compet good person even though made mistak understand given chanc onc,sport
1,ronaldo consid new contract manchest unit winger cristiano ronaldo said close agre new contract old trafford portug star join august fiveyeard regular unit firstteam unit board alreadi made offer renew contract im tri think told news world agent ha spoken club resolv soon think well reach good agreement side ronaldo refus commit hi longterm futur club nobodi know come tomorrow like know ad arent mani bigger better club thi one ambit big club im happi nobodi know futur,sport
2,tv call carrol error spur boss martin jol said hi team rob manchest unit pedro mend shot clearli cross line wa given refere alreadi wear earpiec whi cant stop game get decis right said jol draw end day obviou pedro shot wa line incred feel rob difficult linesman refere see mend shot yard unit goalkeep roy carrol spill ball hi net befor hook clear jol ad talk ball coupl centimetr inch two line wa metr insid goal realli annoy watch someth tv monitor within two second incid occur refere isnt told didnt play particularli well pleas even point although three mend could believ goal wa given see replay said reaction pitch wa celebr wa veri nice goal wa clearli line ive never seen one line given career realli realli laugh nice goal one keep memori even though didnt count everi game score halfway line manchest unit manag sir alex ferguson sympathis tottenham said incid highlight need video technolog think hammer home lot peopl ask technolog play part game ferguson told mutv wa origin wa time factor video replay read articl day suggest refere cant make hi mind second watch video replay game carri thirti second amount time take organis freekick take corner goalkick wouldnt wast lot time think could start use goallin decis think would open new area footbal arsen boss arsen wenger also use incid highlight need video technolog whole world apart refere ha seen goal old trafford reinforc feel video evid said wenger great exampl refere could ask see replay would seen five second wa goal,sport
3,england defens crisi grow england defens worri deepen follow withdraw tottenham ledley king squad face holland chelsea john terri wayn bridg also leav coach svengoran eriksson real problem wednesday match villa park injur rio ferdinand sol campbel left squad matthew upson ha alreadi pull brown jami carragh like makeshift partnership terri captain chelsea push premiership titl would certain starter absenc campbel ferdinand ha pull bruis knee like replac carragh alongsid brown manchest unit brown last play england defeat australia upton park februari yearold wa onli call squad sunday night cover follow enforc withdraw upson ha hamstr injuri brown look certain add hi talli seven senior appear england king wa forc pull hi groin injuri wa assess england medic staff eriksson ha still decid whether call ani backup alreadi summon phil nevil bridg pull foot injuri,sport
4,darci injuri add ireland woe gordon darci ha rule ireland team saturday six nation clash scotland murrayfield like skipper brian odriscol darci fail recov hamstr injuri side led munster lock paul oconnel shane horgan switch wing centr join ulster kevin magg girvan dempsey come team take right wing spot gavin duffi call replac gave gordon chanc didnt work said ireland coach eddi osullivan term risk element wa sensibl precaut fine next game want tempt fate magg win hi th cap wa obviou replac centr shane horgan wa alway like move wing onli chang ireland side last weekend win rome see wasp flanker johnni oconnor replac deni leami oconnor win hi third cap make hi debut victori south africa last novemb murphi dempsey horgan magg hicki ogara stringer corrigan byrn hay okelli oconnel capt easterbi oconnor foley sheahan horan ocallaghan miller g easterbi humphrey duffi,sport
5,safin play wimbledon hope newlycrown australian open champion marat safin ha rule ani chanc win wimbledon futur lose round one last year safin said given wimbledon win hi second grand slam titl ha chang hi mind ill play expect feel like cant wast time energi surfac said peopl play clay peopl play hard court cant play grass howev safin hope win australian open give belief need win grand slam titl relief two grand slam alreadi someth thi one work realli hard said basic would love win coupl think chanc continu thi way coach peter lundgren stick around want work bit longer think make yearold shock pete sampra us open final win hi first major titl lost two australian open final safin admit begun doubt whether would win anoth grand slam didnt expect win us open wa sampra wasnt favourit pressur whatsoev said first final didnt win thoma johansson couldnt see win grand slam anymor wa onc semifin french open didnt believ win couldnt handl pressur need believ didnt lose first set lleyton hewitt sunday final safin said began doubt im play hewitt least opportun win least chanc said like go lose first set start think thi day way im play ridicul start realli littl bit selfish tri find way found wa like realli much wa much happier sure becaus get,sport
6,kuznetsova fail drug test us open champion svetlana kuznetsova ha test posit ban drug accord belgian author belgian sport minist claud eerdeken said russian world number five test posit stimul ephedrin decemb kuznetsova wa play exhibit event charleroi time eerdeken said problem ephedrin wa discov remain innoc prove guilti ask test situat remain unclear tournament wa commiss world antidop agenc wada intern tenni feder itf women tenni accosi wta test wa carri region belgian author kuznetsova ha yet abl b sampl test speak australian open monday befor eerdeken identifi kuznetsova said im worri im use anyth push notifi ani posit test think unfair come way eerdeken said confirm find wa sent last friday player address spain well belgian prosecutor offic belgian russian tenni feder conced kuznetsova might taken medicin contain ban substanc simpli state fact said feder concern impos disciplinari measur procedur respect defenc either ephedrin wa taken improv perform becaus took medicin legitim cure infect howev kuznetsova name wa condemn russian tenni chief shamil tarpishchev first thi belgian sport minist ha broken everi ethic rule book name player without ani proof wrongdo without ani basic evid tarpishchev said know basic principl dope case posit sampl notifi intern tenni feder itf well nation feder within three day said thi case today receiv ani statement dope offici itf today call itf headquart told know noth wada world antidop agenc wa behind test would also known someth otherwis look pure fiction fabric fact,sport
7,run around olymp wa back offici duti last week role ambassador london olymp bid still manag marathon train sport peopl capit bid team think im mad take part london marathon bid chairman lord coe admit would never dream run marathon even though wa olymp middledist runner kelli holm former hurdler alan pasco former sprinter franki frederick ioc member want know whi anyon would want run far youd thought athlet run live wouldnt think would bad onli person wa posit intent wa tanni grey thompson ha london marathon wheelchair race six time even though wa veri busi week entertain intern olymp committe ioc evalu commiss actual found run schedul easier follow im home get distract sort thing five day wa london wa pressuris situat found easi relax run wednesday present ioc team finish earli even manag squeez minut run earli start thursday becaus visit olymp site around london wa pretti shatter got back hotel got back treadmil friday even went along special dinner buckingham palac wa nice occas never feel guilti eat especi im exercis becaus wa rest day didnt feel bad miss train either anyway manag anoth quick run saturday ahead final ioc present befor head home daughter birthday wa london run treadmil isnt exercis outdoor one ioc technic staff australia ran alongsid one day talk sydney olymp made time go past quickli find quit comfort run gym becaus cushion gear run road need bodi get use jar feel feet hit pavement wa good get road long run sunday week id wa bit concern wouldnt abl complet cope veri well even though wa bitterli cold put andahalf mile onli anoth go thi year steve donat proce hi london marathon effort victim tsunamistev write regular column hi marathon train bbc sport websiteh rais money steve redgrav trust support associ children hospic children leukaemia chariti trust project aim provid innerc school row equip,sport
8,anelka apologis critic manchest citi striker nicola anelka ha issu apolog criticis ambit club anelka wa quot french newspap say would like play champion leagu bigger club chairman john wardl said ive spoken nicola apologis anyth might mistakenli taken french press big club nicola told agre big club wardl wa speak club annual gener meet also confirm club receiv ani bid former arsen real madrid striker club still owe french club psg âm purchas anelka may ha link move barcelona liverpool red skipper steven gerrard also reveal admir hi time loan anfield wardl ad bid nicola anelka noon ha come said would like buy nicola anelka bid come nicola anelka speak board speak kevin keegan wa bid wa bid substanc worth take us wed decid still owe money nicola clear would abov wardl stress club wa invit ani offer england winger shaun wrightphillip ad ive intent sell shaun wrightphillip someon come silli bid ill discuss put shelf sell heart soul thi club ha hi heart sole thi club would veri upset put shop window wa academi kid sign new fouryear deal dont think hed unless want play manchest citi footbal club citi recent announc debt âm wardl confirm would tri find fund bring player januari transfer window said like kevin id like see player come weve got see whether bosman tri creativ gener fund mayb start look club like everton bolton see deal transfer market similar type thing,sport
9,william stay despit disput matt william insist ha thought quit nation coach result power struggl current grip scottish rugbi chairman chief execut three nonexecut director depart row game futur direct william said want make clear im commit total scottish rugbi ive brought famili weve immers ourselv scottish life way im walk away howev attempt steer clear take side disput id like stress nation team separ polit situat said come undertak like thi tri make differ alway peopl begrudg jealou want tri drag situat courag convict see wa veri unhelp uninform comment nation team receiv massiv increas budget expens part scottish rugbi simpli case like good coach go ask increas told uncertain term financi situat allow idea light cigar â note rest scottish rugbi flounder absolut untru also attract critic becaus number day player spent nation team let give truth irish counterpart compet day time day togeth summer current camp anoth day camp befor six nation mean day away club juli six nation hand must winwin philosophi attitud within scottish rugbi group win compet,sport
